Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(B)     float   x64     00004   00400   0,0438  0,6839
Java_ver(C)     float   x64     00000   00400   0,0320  0,5000
Java_ver(C)     float   x64     00001   00400   0,0260  0,4057
Java_ver(C)     float   x64     00002   00400   0,0163  0,2546
Java_ver(C)     float   x64     00003   00400   0,0162  0,2525
Java_ver(C)     float   x64     00004   00400   0,0169  0,2634
Java_ver(D)     float   x64     00000   00400   0,0230  0,3587
Java_ver(D)     float   x64     00001   00400   0,0190  0,2961
Java_ver(D)     float   x64     00002   00400   0,0181  0,2821
Java_ver(D)     float   x64     00003   00400   0,0199  0,3114
Java_ver(D)     float   x64     00004   00400   0,0189  0,2947
Java_ver(E)     float   x64     00000   00400   0,0626  0,9777
Java_ver(E)     float   x64     00001   00400   0,0617  0,9642
Java_ver(E)     float   x64     00002   00400   0,0793  1,2391
Java_ver(E)     float   x64     00003   00400   0,0726  1,1341
Java_ver(E)     float   x64     00004   00400   0,0693  1,0834
Java_ver(F)     float   x64     00000   00400   0,0642  1,0027
Java_ver(F)     float   x64     00001   00400   0,0713  1,1134
Java_ver(F)     float   x64     00002   00400   0,0752  1,1752
Java_ver(F)     float   x64     00003   00400   0,0781  1,2207
Java_ver(F)     float   x64     00004   00400   0,0710  1,1094

Testing matrix size: 512
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00512   0,1673  1,2464
Java_ver(A)     float   x64     00001   00512   0,1599  1,1911
Java_ver(A)     float   x64     00002   00512   0,1504  1,1203
Java_ver(A)     float   x64     00003   00512   0,1561  1,1631
Java_ver(A)     float   x64     00004   00512   0,1498  1,1158
Java_ver(B)     float   x64     00000   00512   0,1583  1,1795
Java_ver(B)     float   x64     00001   00512   0,1567  1,1676
Java_ver(B)     float   x64     00002   00512   0,1636  1,2191
Java_ver(B)     float   x64     00003   00512   0,1465  1,0915
Java_ver(B)     float   x64     00004   00512   0,1424  1,0610
Java_ver(C)     float   x64     00000   00512   0,0495  0,3687
Java_ver(C)     float   x64     00001   00512   0,0386  0,2878
