PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
pass -File .\run_python_tests.ps1
PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy 
Bypass -File .\run_python_tests.ps1























Running Python tests for all matrix sizes...
Py_ver(F)       float   x64     00000   00181   1.6933  285.5546
Py_ver(F)       float   x64     00001   00181   1.5814  266.6974
Py_ver(F)       float   x64     00002   00181   1.6529  278.7541
Py_ver(F)       float   x64     00003   00181   1.6364  275.9601
Py_ver(F)       float   x64     00004   00181   1.6476  277.8589
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00181   1.4833  250.1452
Py_ver(A)       double  x64     00001   00181   1.3753  231.9254
Py_ver(A)       double  x64     00002   00181   1.3759  232.0328
Py_ver(A)       double  x64     00003   00181   1.3650  230.1950
Py_ver(A)       double  x64     00004   00181   1.4189  239.2821
Py_ver(B)       double  x64     00000   00181   1.3817  233.0113
Py_ver(B)       double  x64     00001   00181   1.3442  226.6817
Py_ver(B)       double  x64     00002   00181   1.3710  231.2039
Py_ver(B)       double  x64     00003   00181   1.3647  230.1498
Py_ver(B)       double  x64     00004   00181   1.3925  234.8295
Py_ver(C)       double  x64     00000   00181   1.7072  287.9116
Py_ver(C)       double  x64     00001   00181   1.7059  287.6878
Py_ver(C)       double  x64     00002   00181   1.6201  273.2106
Py_ver(C)       double  x64     00003   00181   1.6938  285.6491
Py_ver(C)       double  x64     00004   00181   1.7014  286.9276
Py_ver(D)       double  x64     00000   00181   1.6181  272.8858
Py_ver(D)       double  x64     00001   00181   1.6753  282.5290
Py_ver(D)       double  x64     00002   00181   1.7232  290.6066
Py_ver(D)       double  x64     00003   00181   1.6622  280.3107
Py_ver(D)       double  x64     00004   00181   1.6544  278.9981
Py_ver(E)       double  x64     00000   00181   1.7052  287.5613
Py_ver(E)       double  x64     00001   00181   1.7111  288.5542
Py_ver(E)       double  x64     00002   00181   1.6490  278.0815
Py_ver(E)       double  x64     00003   00181   1.7867  301.3062
Py_ver(E)       double  x64     00004   00181   1.7092  288.2452
Py_ver(F)       double  x64     00000   00181   1.5573  262.6273
Py_ver(F)       double  x64     00001   00181   1.7664  297.8820
Py_ver(F)       double  x64     00002   00181   1.6178  272.8221
Py_ver(F)       double  x64     00003   00181   1.6955  285.9314
Py_ver(F)       double  x64     00004   00181   1.7942  302.5784

Testing matrix size: 200
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00200   1.9545  244.3087
Py_ver(A)       float   x64     00001   00200   1.9210  240.1293
Py_ver(A)       float   x64     00002   00200   1.9134  239.1688
Py_ver(A)       float   x64     00003   00200   1.8774  234.6783
Py_ver(A)       float   x64     00004   00200   1.8433  230.4111
Py_ver(B)       float   x64     00000   00200   1.8636  232.9559
Py_ver(B)       float   x64     00001   00200   1.8816  235.1998
Py_ver(B)       float   x64     00002   00200   1.8236  227.9485
Py_ver(B)       float   x64     00003   00200   1.9526  244.0757
Py_ver(B)       float   x64     00004   00200   1.9677  245.9643
Py_ver(C)       float   x64     00000   00200   2.1163  264.5418
Py_ver(C)       float   x64     00001   00200   2.2565  282.0673
Py_ver(C)       float   x64     00002   00200   2.2993  287.4063
Py_ver(C)       float   x64     00003   00200   2.0820  260.2515
Py_ver(C)       float   x64     00004   00200   2.2977  287.2116
Py_ver(D)       float   x64     00000   00200   2.1225  265.3163
Py_ver(D)       float   x64     00001   00200   2.2139  276.7337
Py_ver(D)       float   x64     00002   00200   2.2494  281.1806
Py_ver(D)       float   x64     00003   00200   2.2821  285.2582
Py_ver(D)       float   x64     00004   00200   2.1321  266.5128
Py_ver(E)       float   x64     00000   00200   2.2397  279.9668
Py_ver(E)       float   x64     00001   00200   2.4055  300.6845
Py_ver(E)       float   x64     00002   00200   2.1631  270.3915
Py_ver(E)       float   x64     00003   00200   2.2125  276.5586
Py_ver(E)       float   x64     00004   00200   2.1457  268.2086
Py_ver(F)       float   x64     00000   00200   2.1293  266.1621
Py_ver(F)       float   x64     00001   00200   2.1643  270.5342
Py_ver(F)       float   x64     00002   00200   2.2999  287.4897
Py_ver(F)       float   x64     00003   00200   2.2485  281.0593
Py_ver(F)       float   x64     00004   00200   2.1923  274.0323
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00200   2.0518  256.4722
Py_ver(A)       double  x64     00001   00200   1.8762  234.5255
Py_ver(A)       double  x64     00002   00200   1.8722  234.0280
Py_ver(A)       double  x64     00003   00200   1.8153  226.9147
Py_ver(A)       double  x64     00004   00200   1.7686  221.0748
Py_ver(B)       double  x64     00000   00200   1.8279  228.4914
Py_ver(B)       double  x64     00001   00200   1.8122  226.5289
Py_ver(B)       double  x64     00002   00200   1.8631  232.8909
Py_ver(B)       double  x64     00003   00200   1.9615  245.1820
Py_ver(B)       double  x64     00004   00200   1.7744  221.7984
Py_ver(C)       double  x64     00000   00200   2.3382  292.2805
Py_ver(C)       double  x64     00001   00200   2.3600  295.0007
Py_ver(C)       double  x64     00002   00200   2.2093  276.1665
Py_ver(C)       double  x64     00003   00200   2.2270  278.3802
Py_ver(C)       double  x64     00004   00200   2.2871  285.8835
Py_ver(D)       double  x64     00000   00200   2.1907  273.8364
Py_ver(D)       double  x64     00001   00200   2.3800  297.5032
Py_ver(D)       double  x64     00002   00200   2.1243  265.5389
Py_ver(D)       double  x64     00003   00200   2.4394  304.9292
Py_ver(D)       double  x64     00004   00200   2.3649  295.6170
Py_ver(E)       double  x64     00000   00200   2.3638  295.4706
Py_ver(E)       double  x64     00001   00200   2.2975  287.1884
Py_ver(E)       double  x64     00002   00200   2.3234  290.4240
Py_ver(E)       double  x64     00003   00200   2.3341  291.7668
Py_ver(E)       double  x64     00004   00200   2.3135  289.1852
Py_ver(F)       double  x64     00000   00200   2.4487  306.0840
Py_ver(F)       double  x64     00001   00200   2.4439  305.4893
Py_ver(F)       double  x64     00002   00200   2.5434  317.9221
Py_ver(F)       double  x64     00003   00200   2.3594  294.9206
Py_ver(F)       double  x64     00004   00200   2.1574  269.6812

Testing matrix size: 256
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00256   3.9855  237.5552
Py_ver(A)       float   x64     00001   00256   4.0462  241.1722
Py_ver(A)       float   x64     00002   00256   4.0129  239.1893
Py_ver(A)       float   x64     00003   00256   3.7418  223.0303
Py_ver(A)       float   x64     00004   00256   3.6357  216.7032
Py_ver(B)       float   x64     00000   00256   3.7399  222.9179
Py_ver(B)       float   x64     00001   00256   3.7074  220.9775
Py_ver(B)       float   x64     00002   00256   3.6475  217.4057
Py_ver(B)       float   x64     00003   00256   3.6185  215.6773
Py_ver(B)       float   x64     00004   00256   3.6997  220.5204
Py_ver(C)       float   x64     00000   00256   4.2512  253.3886
Py_ver(C)       float   x64     00001   00256   4.2113  251.0155
Py_ver(C)       float   x64     00002   00256   4.2536  253.5371
Py_ver(C)       float   x64     00003   00256   4.1948  250.0285
Py_ver(C)       float   x64     00004   00256   4.2179  251.4092
Py_ver(D)       float   x64     00000   00256   4.2066  250.7353
Py_ver(D)       float   x64     00001   00256   4.2288  252.0545
Py_ver(D)       float   x64     00002   00256   4.2272  251.9582
Py_ver(D)       float   x64     00003   00256   4.2173  251.3703
Py_ver(D)       float   x64     00004   00256   4.1695  248.5193
Py_ver(E)       float   x64     00000   00256   4.2043  250.5983
Py_ver(E)       float   x64     00001   00256   4.2042  250.5888
Py_ver(E)       float   x64     00002   00256   4.2024  250.4814
Py_ver(E)       float   x64     00003   00256   4.1965  250.1298
Py_ver(E)       float   x64     00004   00256   4.2038  250.5652
Py_ver(F)       float   x64     00000   00256   4.1486  247.2730
Py_ver(F)       float   x64     00001   00256   4.2418  252.8324
Py_ver(F)       float   x64     00002   00256   4.1995  250.3080
Py_ver(F)       float   x64     00003   00256   4.1727  248.7140
Py_ver(F)       float   x64     00004   00256   4.5975  274.0328
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00256   4.6978  280.0105
Py_ver(A)       double  x64     00001   00256   5.5457  330.5507
Py_ver(A)       double  x64     00002   00256   5.1954  309.6713
Py_ver(A)       double  x64     00003   00256   4.6190  275.3121
Py_ver(A)       double  x64     00004   00256   4.5958  273.9330
Py_ver(B)       double  x64     00000   00256   4.6289  275.9015
Py_ver(B)       double  x64     00001   00256   4.4753  266.7472
Py_ver(B)       double  x64     00002   00256   4.6186  275.2912
Py_ver(B)       double  x64     00003   00256   4.6868  279.3535
Py_ver(B)       double  x64     00004   00256   4.7826  285.0673
Py_ver(C)       double  x64     00000   00256   5.5125  328.5735
Py_ver(C)       double  x64     00001   00256   5.2948  315.5936
Py_ver(C)       double  x64     00002   00256   5.3141  316.7472
Py_ver(C)       double  x64     00003   00256   5.2215  311.2267
Py_ver(C)       double  x64     00004   00256   5.5053  328.1444
Py_ver(D)       double  x64     00000   00256   5.5790  332.5343
Py_ver(D)       double  x64     00001   00256   5.2950  315.6051
Py_ver(D)       double  x64     00002   00256   5.1323  305.9081
Py_ver(D)       double  x64     00003   00256   5.1120  304.7015
Py_ver(D)       double  x64     00004   00256   5.4885  327.1416
Py_ver(E)       double  x64     00000   00256   5.2633  313.7167
Py_ver(E)       double  x64     00001   00256   5.5031  328.0093
Py_ver(E)       double  x64     00002   00256   5.6373  336.0069
Py_ver(E)       double  x64     00003   00256   5.7424  342.2755
